ticker,fecha,open,high,low,close,adj_close,volume,anomalia
SPY,2023-08-01,456.2699890136719,457.25,455.489990234375,456.4800109863281,455.489990234375,55291500,False
SPY,2023-08-02,453.25,453.5199890136719,449.3500061035156,450.1300048828125,449.3500061035156,93933400,False
SPY,2023-08-03,448.0400085449219,450.7900085449219,447.3699951171875,448.8399963378906,447.3699951171875,64276100,False
SPY,2023-08-04,450.7200012207031,452.8999938964844,446.2699890136719,446.80999755859375,446.2699890136719,100128900,False
SPY,2023-08-07,448.7099914550781,450.8699951171875,447.989990234375,450.7099914550781,447.989990234375,58357500,False
SPY,2023-08-08,448.0799865722656,450.70001220703125,445.2699890136719,448.75,445.2699890136719,71361300,False
SPY,2023-08-09,449.0299987792969,449.20001220703125,444.9599914550781,445.75,444.9599914550781,78789600,False
SPY,2023-08-10,448.19000244140625,451.70001220703125,444.70001220703125,445.9100036621094,444.70001220703125,93005500,False
SPY,2023-08-11,443.9700012207031,446.70001220703125,443.3500061035156,445.6499938964844,443.3500061035156,68690900,False
SPY,2023-08-14,444.70001220703125,448.1099853515625,444.3800048828125,448.1099853515625,444.3800048828125,47867400,False
SPY,2023-08-15,446.2699890136719,446.6400146484375,442.29998779296875,442.8900146484375,442.29998779296875,75707500,False
SPY,2023-08-16,442.4599914550781,444.17999267578125,439.5299987792969,439.6400146484375,439.5299987792969,80107200,False
SPY,2023-08-17,441.1600036621094,441.42999267578125,435.75,436.2900085449219,435.75,95711300,False
SPY,2023-08-18,433.3699951171875,437.57000732421875,433.010009765625,436.5,433.010009765625,98852000,False
SPY,2023-08-21,437.54998779296875,440.1099853515625,435.32000732421875,439.3399963378906,435.32000732421875,68719000,False
SPY,2023-08-22,441.17999267578125,441.17999267578125,437.57000732421875,438.1499938964844,437.57000732421875,64994200,False
SPY,2023-08-23,439.25,443.6700134277344,439.1000061035156,443.0299987792969,439.1000061035156,68441000,False
SPY,2023-08-24,444.69000244140625,445.2200012207031,436.8599853515625,436.8900146484375,436.8599853515625,88517300,False
SPY,2023-08-25,438.67999267578125,441.29998779296875,435.0,439.9700012207031,435.0,102325100,False
SPY,2023-08-28,442.239990234375,443.3999938964844,439.9700012207031,442.760009765625,439.9700012207031,61595400,False
SPY,2023-08-29,442.6499938964844,449.45001220703125,442.4599914550781,449.1600036621094,442.4599914550781,83081900,False
SPY,2023-08-30,449.510009765625,451.6700134277344,448.7799987792969,451.010009765625,448.7799987792969,69053900,False
SPY,2023-08-31,451.6499938964844,452.8299865722656,450.1600036621094,450.3500061035156,450.1600036621094,66084600,False
SPY,2023-09-01,453.1700134277344,453.6700134277344,449.67999267578125,451.19000244140625,449.67999267578125,58944100,False
SPY,2023-09-05,450.7300109863281,451.05999755859375,449.1700134277344,449.239990234375,449.1700134277344,55166200,False
SPY,2023-09-06,448.3999938964844,448.510009765625,443.80999755859375,446.2200012207031,443.80999755859375,70758500,False
SPY,2023-09-07,443.1099853515625,445.54998779296875,442.75,444.8500061035156,442.75,70355400,False
SPY,2023-09-08,444.8999938964844,447.1099853515625,444.5299987792969,445.5199890136719,444.5299987792969,61659700,False
SPY,2023-09-11,448.239990234375,448.7699890136719,446.4700012207031,448.45001220703125,446.4700012207031,60180100,False
SPY,2023-09-12,446.95001220703125,448.5299987792969,445.3900146484375,445.989990234375,445.3900146484375,67565400,False
SPY,2023-09-13,446.2200012207031,447.7099914550781,445.0799865722656,446.510009765625,445.0799865722656,60199300,False
SPY,2023-09-14,449.07000732421875,451.0799865722656,447.7200012207031,450.3599853515625,447.7200012207031,83430800,False
SPY,2023-09-15,447.1400146484375,447.4800109863281,442.9200134277344,443.3699951171875,442.9200134277344,111848900,False
SPY,2023-09-18,443.04998779296875,444.9700012207031,442.55999755859375,443.6300048828125,442.55999755859375,55752200,False
SPY,2023-09-19,442.67999267578125,443.2900085449219,439.94000244140625,442.7099914550781,439.94000244140625,66514600,False
SPY,2023-09-20,444.010009765625,444.44000244140625,438.42999267578125,438.6400146484375,438.42999267578125,82562600,False
SPY,2023-09-21,435.70001220703125,435.9700012207031,431.2300109863281,431.3900146484375,431.2300109863281,104095800,False
SPY,2023-09-22,432.45001220703125,434.1000061035156,429.989990234375,430.4200134277344,429.989990234375,100829700,False
SPY,2023-09-25,429.1700134277344,432.2699890136719,428.7200012207031,432.2300109863281,428.7200012207031,70874500,False
SPY,2023-09-26,429.0899963378906,429.82000732421875,425.0199890136719,425.8800048828125,425.0199890136719,96168400,False
SPY,2023-09-27,427.0899963378906,427.6700134277344,422.2900085449219,426.04998779296875,422.2900085449219,104705800,False
SPY,2023-09-28,425.4800109863281,430.25,424.8699951171875,428.5199890136719,424.8699951171875,92258300,False
SPY,2023-09-29,431.6700134277344,431.8500061035156,425.9100036621094,427.4800109863281,425.9100036621094,115111300,False
SPY,2023-10-02,426.6199951171875,428.6000061035156,424.4599914550781,427.30999755859375,424.4599914550781,83798600,False
SPY,2023-10-03,425.05999755859375,427.3699951171875,420.17999267578125,421.5899963378906,420.17999267578125,103760600,False
SPY,2023-10-04,422.07000732421875,425.42999267578125,420.55999755859375,424.6600036621094,420.55999755859375,87453000,False
SPY,2023-10-05,424.3599853515625,425.3699951171875,421.1700134277344,424.5,421.1700134277344,70142700,False
SPY,2023-10-06,421.9700012207031,431.1300048828125,420.6000061035156,429.5400085449219,420.6000061035156,113273300,False
SPY,2023-10-09,427.5799865722656,432.8800048828125,427.010009765625,432.2900085449219,427.010009765625,80374400,False
SPY,2023-10-10,432.94000244140625,437.2200012207031,432.5299987792969,434.5400085449219,432.5299987792969,78607300,False
SPY,2023-10-11,435.6400146484375,436.5799865722656,433.17999267578125,436.32000732421875,433.17999267578125,62451700,False
SPY,2023-10-12,436.95001220703125,437.3399963378906,431.2300109863281,433.6600036621094,431.2300109863281,81154200,False
SPY,2023-10-13,435.2099914550781,436.45001220703125,429.8800048828125,431.5,429.8800048828125,95143100,False
SPY,2023-10-16,433.82000732421875,437.1400146484375,433.57000732421875,436.0400085449219,433.57000732421875,75433200,False
SPY,2023-10-17,432.80999755859375,438.1400146484375,432.45001220703125,436.0199890136719,432.45001220703125,75324700,False
SPY,2023-10-18,434.19000244140625,435.17999267578125,429.0899963378906,430.2099914550781,429.0899963378906,93559800,False
SPY,2023-10-19,430.95001220703125,432.82000732421875,425.7300109863281,426.42999267578125,425.7300109863281,121323000,False
SPY,2023-10-20,425.9800109863281,426.5400085449219,421.0799865722656,421.19000244140625,421.0799865722656,123919900,False
SPY,2023-10-23,419.6099853515625,424.45001220703125,417.79998779296875,420.4599914550781,417.79998779296875,92035100,False
SPY,2023-10-24,422.6499938964844,424.82000732421875,420.739990234375,423.6300048828125,420.739990234375,78564200,False
SPY,2023-10-25,421.8900146484375,421.9200134277344,417.0199890136719,417.54998779296875,417.0199890136719,94223200,False
SPY,2023-10-26,416.45001220703125,417.3299865722656,411.6000061035156,412.54998779296875,411.6000061035156,115156800,False
SPY,2023-10-27,414.19000244140625,414.6000061035156,409.2099914550781,410.67999267578125,409.2099914550781,107367700,False
SPY,2023-10-30,413.55999755859375,416.67999267578125,412.2200012207031,415.5899963378906,412.2200012207031,86562700,False
SPY,2023-10-31,416.17999267578125,418.5299987792969,414.2099914550781,418.20001220703125,414.2099914550781,79665200,False
SPY,2023-11-01,419.20001220703125,423.5,418.6499938964844,422.6600036621094,418.6499938964844,98068100,False
SPY,2023-11-02,426.5799865722656,430.9200134277344,426.55999755859375,430.760009765625,426.55999755859375,94938900,False
SPY,2023-11-03,433.1400146484375,436.2900085449219,433.010009765625,434.69000244140625,433.010009765625,100167800,False
SPY,2023-11-06,435.4700012207031,436.1499938964844,433.67999267578125,435.69000244140625,433.67999267578125,67831700,False
SPY,2023-11-07,435.69000244140625,437.5899963378906,434.510009765625,436.92999267578125,434.510009765625,64256100,False
SPY,2023-11-08,437.54998779296875,438.0899963378906,434.8699951171875,437.25,434.8699951171875,61746000,False
SPY,2023-11-09,438.42999267578125,438.4700012207031,433.3999938964844,433.8399963378906,433.3999938964844,83174400,False
SPY,2023-11-10,435.9800109863281,440.92999267578125,433.8299865722656,440.6099853515625,433.8299865722656,89462200,False
SPY,2023-11-13,439.2300109863281,441.3299865722656,438.4200134277344,440.19000244140625,438.4200134277344,52236100,False
SPY,2023-11-14,446.32000732421875,450.05999755859375,446.0899963378906,448.7300109863281,446.0899963378906,97176900,False
SPY,2023-11-15,450.1099853515625,451.3800048828125,448.79998779296875,449.67999267578125,448.79998779296875,77327600,False
SPY,2023-11-16,449.2200012207031,450.55999755859375,448.1199951171875,450.2300109863281,448.1199951171875,66665800,False
SPY,2023-11-17,450.239990234375,451.4200134277344,449.2900085449219,450.7900085449219,449.2900085449219,83133200,False
SPY,2023-11-20,450.5299987792969,455.1300048828125,450.5199890136719,454.260009765625,450.5199890136719,69936200,False
SPY,2023-11-21,453.17999267578125,454.1300048828125,451.9599914550781,453.2699890136719,451.9599914550781,49244600,False
SPY,2023-11-22,454.9800109863281,456.3800048828125,453.8900146484375,455.0199890136719,453.8900146484375,59394900,False
SPY,2023-11-24,455.07000732421875,455.5,454.7300109863281,455.29998779296875,454.7300109863281,29737400,False
SPY,2023-11-27,454.6499938964844,455.489990234375,454.0799865722656,454.4800109863281,454.0799865722656,50506000,False
SPY,2023-11-28,454.0799865722656,456.2699890136719,453.5,454.92999267578125,453.5,62115000,False
SPY,2023-11-29,457.1499938964844,458.32000732421875,454.20001220703125,454.6099853515625,454.20001220703125,63146000,False
SPY,2023-11-30,455.4800109863281,456.760009765625,453.3399963378906,456.3999938964844,453.3399963378906,79752700,False
SPY,2023-12-01,455.7699890136719,459.6499938964844,455.1600036621094,459.1000061035156,455.1600036621094,89183400,False
SPY,2023-12-04,455.6000061035156,459.1199951171875,454.3399963378906,456.69000244140625,454.3399963378906,72430900,False
SPY,2023-12-05,455.260009765625,457.5899963378906,454.8699951171875,456.6000061035156,454.8699951171875,69793500,False
SPY,2023-12-06,458.80999755859375,458.8399963378906,454.30999755859375,454.760009765625,454.30999755859375,69124700,False
SPY,2023-12-07,456.9100036621094,458.8999938964844,456.2900085449219,458.2300109863281,456.2900085449219,66995400,False
SPY,2023-12-08,457.4599914550781,460.75,457.2099914550781,460.20001220703125,457.2099914550781,83194400,False
SPY,2023-12-11,459.69000244140625,462.1700134277344,459.4700012207031,461.989990234375,459.4700012207031,65002200,False
SPY,2023-12-12,461.6300048828125,464.20001220703125,460.6000061035156,464.1000061035156,460.6000061035156,68327600,False
SPY,2023-12-13,464.489990234375,470.760009765625,464.1199951171875,470.5,464.1199951171875,93278000,False
SPY,2023-12-14,472.5,473.7300109863281,469.25,472.010009765625,469.25,119026000,False
SPY,2023-12-15,469.489990234375,470.70001220703125,467.42999267578125,469.3299865722656,467.42999267578125,141553700,False
SPY,2023-12-18,470.9800109863281,472.9800109863281,469.8900146484375,471.9700012207031,469.8900146484375,70375300,False
SPY,2023-12-19,472.5299987792969,474.9200134277344,472.45001220703125,474.8399963378906,472.45001220703125,55761800,False
SPY,2023-12-20,473.9599914550781,475.8999938964844,467.82000732421875,468.260009765625,467.82000732421875,102921000,False
SPY,2023-12-21,471.3299865722656,472.9800109863281,468.8399963378906,472.70001220703125,468.8399963378906,86667500,False
SPY,2023-12-22,473.8599853515625,475.3800048828125,471.70001220703125,473.6499938964844,471.70001220703125,67160400,False
SPY,2023-12-26,474.07000732421875,476.5799865722656,473.989990234375,475.6499938964844,473.989990234375,55387000,False
SPY,2023-12-27,475.44000244140625,476.6600036621094,474.8900146484375,476.510009765625,474.8900146484375,68000300,False
SPY,2023-12-28,476.8800048828125,477.54998779296875,476.260009765625,476.69000244140625,476.260009765625,77158100,False
SPY,2023-12-29,476.489990234375,477.0299987792969,473.29998779296875,475.30999755859375,473.29998779296875,122283100,False
SPY,2024-01-02,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,470.489990234375,123623700,False
SPY,2024-01-03,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,468.1700134277344,103585900,False
SPY,2024-01-04,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,467.04998779296875,84232200,False
SPY,2024-01-05,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,466.42999267578125,86118900,False
SPY,2024-01-08,468.42999267578125,474.75,468.29998779296875,474.6000061035156,468.29998779296875,74879100,False
SPY,2024-01-09,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,471.3500061035156,65931400,False
SPY,2024-01-10,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,473.8699951171875,67310600,False
SPY,2024-01-11,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,472.260009765625,77940700,False
SPY,2024-01-12,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,475.2300109863281,58026400,False
SPY,2024-01-16,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,473.05999755859375,85014900,False
SPY,2024-01-17,471.82000732421875,472.7900085449219,469.8699951171875,472.2900085449219,469.8699951171875,68843900,False
SPY,2024-01-18,474.010009765625,477.05999755859375,472.4200134277344,476.489990234375,472.4200134277344,91856200,False
SPY,2024-01-19,477.6499938964844,482.7200012207031,476.5400085449219,482.42999267578125,476.5400085449219,110834500,False
SPY,2024-01-22,484.010009765625,485.2200012207031,482.7799987792969,483.45001220703125,482.7799987792969,75844900,False
SPY,2024-01-23,484.010009765625,485.1099853515625,482.8900146484375,484.8599853515625,482.8900146484375,49945300,False
SPY,2024-01-24,487.80999755859375,488.7699890136719,484.8800048828125,485.3900146484375,484.8800048828125,81765000,False
SPY,2024-01-25,487.5799865722656,488.30999755859375,485.3900146484375,488.0299987792969,485.3900146484375,72525000,False
SPY,2024-01-26,487.5899963378906,489.1199951171875,486.5400085449219,487.4100036621094,486.5400085449219,76641600,False
SPY,2024-01-29,487.7300109863281,491.4200134277344,487.1700134277344,491.2699890136719,487.1700134277344,61322800,False
SPY,2024-01-30,490.55999755859375,491.6199951171875,490.1099853515625,490.8900146484375,490.1099853515625,58618400,False
SPY,2024-01-31,488.6199951171875,489.0799865722656,482.8599853515625,482.8800048828125,482.8599853515625,126011100,False
SPY,2024-02-01,484.6300048828125,489.2300109863281,483.79998779296875,489.20001220703125,483.79998779296875,91891600,False
SPY,2024-02-02,489.6499938964844,496.04998779296875,489.29998779296875,494.3500061035156,489.29998779296875,99228200,False
